device_id,phone_number,vehicle_id,watch_id,tracker_id,latitude,longitude,timestamp,accuracy,speed,source
ANDROID_001,,,,,22.5726,88.3639,2026-05-22 21:15:00,5.2,12.5,mobile_gps
ANDROID_001,,,,,22.5731,88.3645,2026-05-22 21:18:00,4.9,15.0,mobile_gps
ANDROID_001,,,,,22.5740,88.3652,2026-05-22 21:22:00,5.5,18.2,mobile_gps
ANDROID_002,,,,,22.5728,88.3638,2026-05-22 21:16:00,6.0,0.0,mobile_gps
ANDROID_002,,,,,22.5729,88.3640,2026-05-22 21:20:00,5.8,1.2,mobile_gps
,9876543210,,,,22.5801,88.3702,2026-05-22 21:25:00,120.0,0.0,telecom_tower
,9876543210,,,,22.5822,88.3725,2026-05-22 21:32:00,150.0,8.0,telecom_tower
,9123456780,,,,22.5727,88.3637,2026-05-22 21:15:30,130.0,0.0,telecom_tower
,9123456780,,,,22.5735,88.3648,2026-05-22 21:21:00,140.0,5.5,telecom_tower
,,CAB_102,,,22.5900,88.3900,2026-05-22 20:55:00,3.5,42.0,vehicle_tracker
,,CAB_102,,,22.5955,88.3950,2026-05-22 21:05:00,3.8,48.0,vehicle_tracker
,,CAB_102,,,22.6020,88.4012,2026-05-22 21:15:00,4.0,52.5,vehicle_tracker
,,CAB_204,,,22.6100,88.4200,2026-05-22 21:00:00,4.2,0.0,vehicle_tracker
,,CAB_204,,,22.6112,88.4210,2026-05-22 21:10:00,4.1,10.0,vehicle_tracker
,,,WATCH_ABC,,22.5725,88.3636,2026-05-22 21:14:00,6.5,3.2,wearable_device
,,,WATCH_ABC,,22.5729,88.3641,2026-05-22 21:18:30,6.2,4.0,wearable_device
,,,WATCH_XYZ,,22.5905,88.3910,2026-05-22 21:02:00,5.9,0.0,wearable_device
,,,,TRACKER_001,22.6500,88.4500,2026-05-22 20:40:00,2.5,65.0,asset_tracker
,,,,TRACKER_001,22.6700,88.4700,2026-05-22 20:55:00,2.8,70.0,asset_tracker
,,,,TRACKER_002,22.7000,88.5000,2026-05-22 21:10:00,3.0,0.0,asset_tracker
ANDROID_003,,,,,22.5726,88.3639,2026-05-22 21:15:10,5.1,0.0,mobile_gps
ANDROID_003,,,,,22.5727,88.3640,2026-05-22 21:17:40,5.0,2.1,mobile_gps
ANDROID_003,,,,,22.5733,88.3647,2026-05-22 21:22:00,4.7,10.4,mobile_gps
,9988776655,,,,22.5741,88.3653,2026-05-22 21:22:10,135.0,0.0,telecom_tower
,9988776655,,,,22.5752,88.3665,2026-05-22 21:28:00,128.0,7.0,telecom_tower
,,TRUCK_909,,,22.7300,88.5500,2026-05-22 18:00:00,3.0,55.0,vehicle_tracker
,,TRUCK_909,,,22.7600,88.5800,2026-05-22 18:30:00,3.2,60.0,vehicle_tracker
,,TRUCK_909,,,22.7900,88.6100,2026-05-22 19:00:00,3.1,58.0,vehicle_tracker
,,,WATCH_RUNNER,,22.5800,88.3700,2026-05-22 06:00:00,4.0,6.5,fitness_tracker
,,,WATCH_RUNNER,,22.5825,88.3720,2026-05-22 06:08:00,4.2,7.1,fitness_tracker
,,,WATCH_RUNNER,,22.5850,88.3745,2026-05-22 06:16:00,4.3,6.8,fitness_tracker
,,,,TRACKER_CONTAINER_77,22.8000,88.6500,2026-05-22 02:00:00,2.0,40.0,shipment_tracker
,,,,TRACKER_CONTAINER_77,22.8500,88.7000,2026-05-22 03:00:00,2.2,42.0,shipment_tracker
ANDROID_004,,,,,22.5901,88.3902,2026-05-22 21:03:00,5.5,0.0,mobile_gps
ANDROID_004,,,,,22.5903,88.3905,2026-05-22 21:07:00,5.0,1.0,mobile_gps
ANDROID_004,,,,,22.5910,88.3912,2026-05-22 21:12:00,4.8,6.0,mobile_gps
